"ROM address","bank","offset in bank","NES address","CDL byte repeat count","CDL byte","CDL byte description"
3292,0,3292,36060,3,34,"data (indirectly accessed)"
3295,0,3295,36063,1,0,"unaccessed"
3296,0,3296,36064,3,34,"data (indirectly accessed)"
3299,0,3299,36067,5,0,"unaccessed"
3304,0,3304,36072,2,34,"data (indirectly accessed)"
3306,0,3306,36074,2,0,"unaccessed"
3308,0,3308,36076,56,34,"data (indirectly accessed)"
3364,0,3364,36132,8,0,"unaccessed"
3372,0,3372,36140,8,34,"data (indirectly accessed)"
3380,0,3380,36148,2,0,"unaccessed"
3382,0,3382,36150,60,34,"data (indirectly accessed)"
3442,0,3442,36210,2,0,"unaccessed"
3444,0,3444,36212,76,34,"data (indirectly accessed)"
3520,0,3520,36288,83,0,"unaccessed"
3603,0,3603,36371,4730,34,"data (indirectly accessed)"
8333,0,8333,41101,8051,0,"unaccessed"
16384,0,16384,49152,168,1,"code"
16552,0,16552,49320,14,2,"data"
16566,0,16566,49334,2,0,"unaccessed"
16568,0,16568,49336,112,34,"data (indirectly accessed)"
16680,0,16680,49448,16,0,"unaccessed"
16696,0,16696,49464,278,2,"data"
16974,0,16974,49742,6,0,"unaccessed"
16980,0,16980,49748,32,2,"data"
17012,0,17012,49780,12,0,"unaccessed"
17024,0,17024,49792,4001,66,"data (PCM audio)"
21025,0,21025,53793,4,0,"unaccessed"
21029,0,21029,53797,745,2,"data"
21774,0,21774,54542,2,0,"unaccessed"
21776,0,21776,54544,5,2,"data"
21781,0,21781,54549,1,0,"unaccessed"
21782,0,21782,54550,4,2,"data"
21786,0,21786,54554,1,0,"unaccessed"
21787,0,21787,54555,1,2,"data"
21788,0,21788,54556,3,0,"unaccessed"
21791,0,21791,54559,1,2,"data"
21792,0,21792,54560,2,0,"unaccessed"
21794,0,21794,54562,2,2,"data"
21796,0,21796,54564,12,0,"unaccessed"
21808,0,21808,54576,1293,2,"data"
23101,0,23101,55869,72,0,"unaccessed"
23173,0,23173,55941,101,2,"data"
23274,0,23274,56042,49,0,"unaccessed"
23323,0,23323,56091,13,2,"data"
23336,0,23336,56104,2,0,"unaccessed"
23338,0,23338,56106,120,2,"data"
23458,0,23458,56226,15,0,"unaccessed"
23473,0,23473,56241,4,2,"data"
23477,0,23477,56245,26,0,"unaccessed"
23503,0,23503,56271,77,2,"data"
23580,0,23580,56348,5,0,"unaccessed"
23585,0,23585,56353,11,2,"data"
23596,0,23596,56364,5,0,"unaccessed"
23601,0,23601,56369,11,2,"data"
23612,0,23612,56380,5,0,"unaccessed"
23617,0,23617,56385,11,2,"data"
23628,0,23628,56396,6,0,"unaccessed"
23634,0,23634,56402,64,2,"data"
23698,0,23698,56466,4,0,"unaccessed"
23702,0,23702,56470,20,1,"code"
23722,0,23722,56490,37,0,"unaccessed"
23759,0,23759,56527,83,1,"code"
23842,0,23842,56610,45,0,"unaccessed"
23887,0,23887,56655,593,1,"code"
24480,0,24480,57248,1,3,"code, data"
24481,0,24481,57249,114,1,"code"
24595,0,24595,57363,3,0,"unaccessed"
24598,0,24598,57366,189,1,"code"
24787,0,24787,57555,210,0,"unaccessed"
24997,0,24997,57765,184,1,"code"
25181,0,25181,57949,1,3,"code, data"
25182,0,25182,57950,532,1,"code"
25714,0,25714,58482,1,3,"code, data"
25715,0,25715,58483,356,1,"code"
26071,0,26071,58839,1,3,"code, data"
26072,0,26072,58840,1191,1,"code"
27263,0,27263,60031,1,3,"code, data"
27264,0,27264,60032,455,1,"code"
27719,0,27719,60487,1,3,"code, data"
27720,0,27720,60488,81,1,"code"
27801,0,27801,60569,610,0,"unaccessed"
28411,0,28411,61179,405,1,"code"
28816,0,28816,61584,1,3,"code, data"
28817,0,28817,61585,128,1,"code"
28945,0,28945,61713,5,0,"unaccessed"
28950,0,28950,61718,374,1,"code"
29324,0,29324,62092,1,3,"code, data"
29325,0,29325,62093,446,1,"code"
29771,0,29771,62539,1,3,"code, data"
29772,0,29772,62540,173,1,"code"
29945,0,29945,62713,11,0,"unaccessed"
29956,0,29956,62724,380,1,"code"
30336,0,30336,63104,1,3,"code, data"
30337,0,30337,63105,335,1,"code"
30672,0,30672,63440,45,0,"unaccessed"
30717,0,30717,63485,387,1,"code"
31104,0,31104,63872,3,0,"unaccessed"
31107,0,31107,63875,48,1,"code"
31155,0,31155,63923,4,0,"unaccessed"
31159,0,31159,63927,382,1,"code"
31541,0,31541,64309,8,0,"unaccessed"
31549,0,31549,64317,233,1,"code"
31782,0,31782,64550,980,0,"unaccessed"
32762,0,32762,65530,4,2,"data"
32766,0,32766,65534,2,0,"unaccessed"
